date,symbol,us_close_usd,global_close_usd,premium_pct,source
2020-09-10,ETH,368.06,367.93,0.0353,bykaranteli.com
2020-09-11,BTC,10394.41,10387.89,0.0628,bykaranteli.com
2020-09-11,ETH,373.93,373.63,0.0803,bykaranteli.com
2020-09-12,BTC,10446.52,10440.92,0.0536,bykaranteli.com
2020-09-12,ETH,387.81,387.78,0.0077,bykaranteli.com
2020-09-13,BTC,10336.76,10332.83,0.038,bykaranteli.com
2020-09-13,ETH,366.58,366.42,0.0437,bykaranteli.com
2020-09-14,BTC,10679.95,10671.77,0.0767,bykaranteli.com
2020-09-14,ETH,377.28,377.12,0.0424,bykaranteli.com
2020-09-15,BTC,10783.75,10785.31,-0.0145,bykaranteli.com
2020-09-15,ETH,364.2,364.06,0.0385,bykaranteli.com
2020-09-16,BTC,10959.61,10954.01,0.0511,bykaranteli.com
2020-09-16,ETH,365.23,365.11,0.0329,bykaranteli.com
2020-09-17,BTC,10943.61,10939.99,0.0331,bykaranteli.com
2020-09-17,ETH,389.45,389.36,0.0231,bykaranteli.com
2020-09-18,BTC,10937.52,10933.39,0.0378,bykaranteli.com
2020-09-18,ETH,384.64,384.39,0.065,bykaranteli.com
2020-09-19,BTC,11080,11080.65,-0.0059,bykaranteli.com
2020-09-19,ETH,385.23,385.25,-0.0052,bykaranteli.com
2020-09-20,BTC,10920.89,10920.28,0.0056,bykaranteli.com
2020-09-20,ETH,370.69,371.04,-0.0943,bykaranteli.com
2020-09-21,BTC,10416.82,10417.22,-0.0038,bykaranteli.com
2020-09-21,ETH,340.11,340.36,-0.0735,bykaranteli.com
2020-09-22,BTC,10531.13,10529.61,0.0144,bykaranteli.com
2020-09-22,ETH,344.26,344.21,0.0145,bykaranteli.com
2020-09-23,BTC,10235.1,10241.46,-0.0621,bykaranteli.com
2020-09-23,ETH,320.63,320.72,-0.0281,bykaranteli.com
2020-09-24,BTC,10740.01,10736.32,0.0344,bykaranteli.com
2020-09-24,ETH,349.14,348.97,0.0487,bykaranteli.com
2020-09-25,BTC,10690.53,10686.67,0.0361,bykaranteli.com
2020-09-25,ETH,352.11,351.92,0.054,bykaranteli.com
2020-09-26,BTC,10730,10728.6,0.013,bykaranteli.com
2020-09-26,ETH,354.13,353.92,0.0593,bykaranteli.com
2020-09-27,BTC,10778.2,10774.25,0.0367,bykaranteli.com
2020-09-27,ETH,357.55,357.49,0.0168,bykaranteli.com
2020-09-28,BTC,10695.55,10696.12,-0.0053,bykaranteli.com
2020-09-28,ETH,353.91,353.96,-0.0141,bykaranteli.com
2020-09-29,BTC,10840.73,10840.48,0.0023,bykaranteli.com
2020-09-29,ETH,359.9,359.79,0.0306,bykaranteli.com
2020-09-30,BTC,10779.63,10776.59,0.0282,bykaranteli.com
2020-09-30,ETH,359.89,359.83,0.0167,bykaranteli.com
2020-10-01,BTC,10617.63,10619.13,-0.0141,bykaranteli.com
2020-10-01,ETH,352.9,352.85,0.0142,bykaranteli.com
2020-10-02,BTC,10573.12,10570.4,0.0257,bykaranteli.com
2020-10-02,ETH,345.7,345.6,0.0289,bykaranteli.com
2020-10-03,BTC,10551.65,10542.06,0.091,bykaranteli.com
2020-10-03,ETH,346.18,345.95,0.0665,bykaranteli.com
2020-10-04,BTC,10671.11,10666.63,0.042,bykaranteli.com
2020-10-04,ETH,352.48,352.37,0.0312,bykaranteli.com
2020-10-05,BTC,10795,10792.21,0.0259,bykaranteli.com
